ir,pr,spo2,rrInterval
420509,61,100,101
420859,61,100,101
421192,61,100,101
421522,61,100,101
421871,61,100,101
422169,61,100,101
422527,61,100,101
422869,61,100,101
423203,61,100,101
423575,61,100,101
423946,61,100,101
424329,61,100,101
424716,61,100,101
425117,61,100,101
425500,61,100,101
425913,61,100,101
426333,61,100,101
426727,61,100,101
427164,61,100,101
427577,61,100,101
427962,61,100,101
428407,61,100,101
428840,61,100,101
429263,61,100,101
429745,61,100,101
430251,61,100,101
430738,61,100,101
431241,61,100,101
431712,61,100,101
432018,61,100,101
432065,61,100,101
431721,61,100,101
430895,61,100,101
429533,61,100,101
427661,61,100,101
425602,61,100,101
423636,61,100,101
421861,61,100,101
420328,61,100,101
419003,61,100,101
417944,61,100,101
417139,61,100,101
416523,61,100,101
416085,61,100,101
415818,61,100,101
415649,61,100,101
415591,61,100,101
415547,61,100,101
415539,61,100,101
415540,61,100,101
415510,61,100,101
415511,61,100,101
415471,61,100,101
415458,61,100,101
415509,61,100,101
415617,61,100,101
415777,61,100,101
416009,61,100,101
416307,61,100,101
416601,61,100,98
416871,61,100,98
417103,61,100,98
417231,61,100,98
417308,61,100,98
417336,61,100,98
417239,61,100,98
417172,61,100,98
417098,61,100,98
416958,61,100,98
416851,61,100,98
416753,61,100,98
416673,61,100,98
416669,61,100,98
416709,61,100,98
416840,61,100,98
416992,61,100,98
417195,61,100,98
417487,61,100,98
417760,61,100,98
418050,61,100,98
418399,61,100,98
418757,61,100,98
419115,61,100,98
419507,61,100,98
419892,61,100,98
420304,61,100,98
420694,61,100,98
421093,61,100,98
421490,61,100,98
421861,61,100,98
422255,61,100,98
422600,61,100,98
422989,61,100,98
423387,61,100,98
423694,61,100,98
424053,61,100,98
424383,61,100,98
424722,61,100,98
425040,61,100,98
425341,61,100,98
425681,61,100,98
426000,61,100,98
426267,61,100,98
426593,61,100,98
426867,61,100,98
427135,61,100,98
427467,61,100,98
427741,61,100,98
428053,61,100,98
428368,61,100,98
428655,61,100,98
429014,61,100,98
429353,61,100,98
429738,61,100,98
430170,61,100,98
430562,61,100,98
430995,61,100,98
431348,61,100,98
431597,61,100,98
431549,61,100,98
431101,61,100,98
430246,61,100,98
428866,61,100,98
427080,61,100,98
425132,61,100,98
423272,61,100,98
421569,61,100,98
420028,61,100,98
418731,61,100,98
417693,61,100,98
416852,61,100,98
416203,61,100,98
415719,61,100,98
415382,61,100,98
415146,61,100,98
414992,61,100,98
414855,61,100,98
414763,61,100,98
414682,61,100,98
414581,61,100,98
414461,61,100,98
414332,61,100,98
414249,61,100,98
414199,61,100,98
414188,61,100,98
414267,61,100,98
414385,61,100,98
414591,61,100,98
414840,61,100,89
415054,61,100,89
415248,61,100,89
415426,61,100,89
415523,61,100,89
415594,61,100,89
415634,61,100,89
415628,61,100,89
415544,61,100,89
415448,61,100,89
415401,61,100,89
415324,61,100,89
415266,61,100,89
415289,61,100,89
415355,61,100,89
415478,61,100,89
415636,61,100,89
415876,61,100,89
416148,61,100,89
416460,61,100,89
416806,61,100,89
417189,61,100,89
417582,61,100,89
417949,61,100,89
418351,61,100,89
418743,61,100,89
419159,61,100,89
419570,61,100,89
419934,61,100,89
420351,61,100,89
420760,61,100,89
421128,61,100,89
421528,61,100,89
421907,61,100,89
422247,61,100,89
422579,61,100,89
422926,61,100,89
423286,61,100,89
423587,61,100,89
423921,61,100,89
424257,61,100,89
424589,61,100,89
424928,61,100,89
425228,61,100,89
425544,61,100,89
425902,61,100,89
426232,61,100,89
426556,61,100,89
426930,61,100,89
427274,61,100,89
427654,61,100,89
428047,61,100,89
428443,61,100,89
428851,61,100,89
429222,61,100,89
429641,61,100,89
430060,61,100,89
430449,61,100,89
430844,61,100,89
431279,61,100,89
431676,61,100,89
432105,61,100,89
432578,61,100,89
433051,61,100,89
433557,61,100,89
434043,61,100,89
434470,61,100,89
434754,61,100,89
434713,61,100,89
434226,61,100,89
433252,61,100,89
431681,61,100,89
429554,61,100,89
427286,61,100,89
425099,61,100,89
423050,61,100,89
421238,61,100,89
419664,61,100,89
418361,61,100,89
417296,61,100,89
416435,61,100,89
415804,61,100,89
415323,61,100,89
414927,61,100,89
414642,61,100,89
414443,61,100,89
414220,61,100,89
413996,61,100,89
413831,61,100,89
413605,61,100,89
413328,61,100,89
413133,61,100,89
412913,61,100,89
412727,61,100,89
412648,61,100,89
412607,61,100,89
412655,61,100,89
412780,61,100,89
412961,61,100,98
413172,61,100,98
413326,61,100,98
413476,61,100,98
413589,61,100,98
413625,61,100,98
413645,61,100,98
413624,61,100,98
413539,61,100,98
413474,61,100,98
413381,61,100,98
413301,61,100,98
413295,61,100,98
413308,61,100,98
413366,61,100,98
413475,61,100,98
413652,61,100,98
413870,61,100,98
414094,61,100,98
414372,61,100,98
414678,61,100,98
415013,61,100,98
415347,61,100,98
415691,61,100,98
416068,61,100,98
416412,61,100,98
416816,61,100,98
417214,61,100,98
417609,61,100,98
418010,61,100,98
418389,61,100,98
418777,61,100,98
419140,61,100,98
419517,61,100,98
419872,61,100,98
420224,61,100,98
420557,61,100,98
420890,61,100,98
421257,61,100,98
421577,61,100,98
421916,61,100,98
422254,61,100,98
422588,61,100,98
422898,61,100,98
423198,61,100,98
423552,61,100,98
423902,61,100,98
424245,61,100,98
424605,61,100,98
424970,61,100,98
425334,61,100,98
425708,61,100,98
426082,61,100,98
426474,61,100,98
426885,61,100,98
427302,61,100,98
427684,61,100,98
428111,61,100,98
428523,61,100,98
428941,61,100,98
429373,61,100,98
429778,61,100,98
430225,61,100,98
430628,61,100,98
431067,61,100,98
431513,61,100,98
431977,61,100,98
432463,61,100,98
432927,61,100,98
433372,61,100,98
433678,61,100,98
433677,61,100,98
433244,61,100,98
432384,61,100,98
430932,61,100,98
428906,61,100,98
426693,61,100,98
424571,61,100,98
422586,61,100,98
420825,61,100,98
419348,61,100,98
418117,61,100,98
417139,61,100,98
416400,61,100,98
415853,61,100,98
415455,61,100,98
415169,61,100,98
414991,61,100,98
414871,61,100,98
414782,61,100,98
414695,61,100,98
414577,61,100,98
414487,61,100,98
414342,61,100,98
414207,61,100,98
414116,61,100,98
414032,61,100,98
414035,61,100,98
414085,61,100,98
414220,61,100,98
414426,61,100,98
414638,61,100,101
414855,61,100,101
415061,61,100,101
415190,61,100,101
415291,61,100,101
415347,61,100,101
415338,61,100,101
415296,61,100,101
415181,61,100,101
415075,61,100,101
414986,61,100,101
414849,61,100,101
414805,61,100,101
414822,61,100,101
414882,61,100,101
414953,61,100,101
415153,61,100,101
415384,61,100,101
415592,61,100,101
415936,61,100,101
416245,61,100,101
416558,61,100,101
416927,61,100,101
417283,61,100,101
417638,61,100,101
418012,61,100,101
418385,61,100,101
418770,61,100,101
419169,61,100,101
419562,61,100,101
419950,61,100,101
420334,61,100,101
420687,61,100,101
421045,61,100,101
421384,61,100,101
421693,61,100,101
422020,61,100,101
422337,61,100,101
422652,61,100,101
422946,61,100,101
423291,61,100,101
423582,61,100,101
423858,61,100,101
424170,61,100,101
424517,61,100,101
424822,61,100,101
425111,61,100,101
425470,61,100,101
425801,61,100,101
426124,61,100,101
426452,61,100,101
426814,61,100,101
427172,61,100,101
427484,61,100,101
427846,61,100,101
428221,61,100,101
428577,61,100,101
428946,61,100,101
429325,61,100,101
429729,61,100,101
430111,61,100,101
430558,61,100,101
430997,61,100,101
431444,61,100,101
431850,61,100,101
432280,61,100,101
432577,61,100,101
432536,61,100,101
432151,61,100,101
431377,61,100,101
430077,61,100,101
428293,61,100,101
426343,61,100,101
424492,61,100,101
422798,61,100,101
421276,61,100,101
419999,61,100,101
418980,61,100,101
418160,61,100,101
417578,61,100,101
417197,61,100,101
416927,61,100,101
416808,61,100,101
416745,61,100,101
416741,61,100,101
416758,61,100,101
416748,61,100,101
416770,61,100,101
416759,61,100,101
416751,61,100,101
416775,61,100,101
416817,61,100,101
416911,61,100,101
417084,61,100,101
417305,61,100,101
417565,61,100,101
417865,61,100,96
418127,61,100,96
418289,61,100,96
418413,61,100,96
418491,61,100,96
418517,61,100,96
418464,61,100,96
418376,61,100,96
418298,61,100,96
418180,61,100,96
418042,61,100,96
417972,61,100,96
417917,61,100,96
417898,61,100,96
417942,61,100,96
418073,61,100,96
418250,61,100,96
418465,61,100,96
418727,61,100,96
419021,61,100,96
419317,61,100,96
419658,61,100,96
419999,61,100,96
420365,61,100,96
420741,61,100,96
421111,61,100,96
421512,61,100,96
421883,61,100,96
422271,61,100,96
422662,61,100,96
423018,61,100,96
423387,61,100,96
423737,61,100,96
424098,61,100,96
424462,61,100,96
424791,61,100,96
425110,61,100,96
425459,61,100,96
425748,61,100,96
426048,61,100,96
426357,61,100,96
426618,61,100,96
426935,61,100,96
427246,61,100,96
427524,61,100,96
427860,61,100,96
428178,61,100,96
428474,61,100,96
428810,61,100,96
429133,61,100,96
429461,61,100,96
429828,61,100,96
430160,61,100,96
430514,61,100,96
430873,61,100,96
431225,61,100,96
431603,61,100,96
432027,61,100,96
432465,61,100,96
432929,61,100,96
433383,61,100,96
433735,61,100,96
433932,61,100,96
433803,61,100,96
433222,61,100,96
432133,61,100,96
430510,61,100,96
428513,61,100,96
426400,61,100,96
424432,61,100,96
422682,61,100,96
421118,61,100,96
419824,61,100,96
418783,61,100,96
417947,61,100,96
417306,61,100,96
416826,61,100,96
416509,61,100,96
416238,61,100,96
416038,61,100,96
415890,61,100,96
415735,61,100,96
415601,61,100,96
415440,61,100,96
415267,61,100,96
415114,61,100,96
414932,61,100,96
414767,61,100,96
414687,61,100,96
414678,61,100,96
414728,61,100,96
414833,61,100,96
415010,61,100,96
415246,61,100,93
415439,61,100,93
415614,61,100,93
415796,61,100,93
415893,61,100,93
415936,61,100,93
415952,61,100,93
415880,61,100,93
415811,61,100,93
415767,61,100,93
415719,61,100,93
415680,61,100,93
415694,61,100,93
415781,61,100,93
415842,61,100,93
415974,61,100,93
416197,61,100,93
416419,61,100,93
416700,61,100,93
417005,61,100,93
417332,61,100,93
417667,61,100,93
418014,61,100,93
418401,61,100,93
418768,61,100,93
419146,61,100,93
419551,61,100,93
419916,61,100,93
420304,61,100,93
420712,61,100,93
421084,61,100,93
421455,61,100,93
421835,61,100,93
422207,61,100,93
422552,61,100,93
422891,61,100,93
423220,61,100,93
423555,61,100,93
423907,61,100,93
424213,61,100,93
424546,61,100,93
424890,61,100,93
425213,61,100,93
425542,61,100,93
425918,61,100,93
426269,61,100,93
426595,61,100,93
426969,61,100,93
427336,61,100,93
427698,61,100,93
428098,61,100,93
428477,61,100,93
428834,61,100,93
429232,61,100,93
429652,61,100,93
430039,61,100,93
430450,61,100,93
430876,61,100,93
431282,61,100,93
431701,61,100,93
432096,61,100,93
432504,61,100,93
432941,61,100,93
433389,61,100,93
433828,61,100,93
434301,61,100,93
434798,61,100,93
435252,61,100,93
435592,61,100,93
435699,61,100,93
435373,61,100,93
434588,61,100,93
433276,61,100,93
431359,61,100,93
429162,61,100,93
426979,61,100,93
424940,61,100,93
423130,61,100,93
421577,61,100,93
420283,61,100,93
419218,61,100,93
418414,61,100,93
417810,61,100,93
417350,61,100,93
417041,61,100,93
416827,61,100,93
416645,61,100,93
416503,61,100,93
416386,61,100,93
416246,61,100,93
416115,61,100,93
415972,61,100,93
415782,61,100,93
415568,61,100,93
415460,61,100,93
415385,61,100,93
415348,61,100,93
415441,61,100,93
415570,61,100,93
415752,61,99,99
415958,61,99,99
416112,61,99,99
416266,61,99,99
416363,61,99,99
416430,61,99,99
416466,61,99,99
416447,61,99,99
416421,61,99,99
416338,61,99,99
416265,61,99,99
416184,61,99,99
416110,61,99,99
416117,61,99,99
416123,61,99,99
416193,61,99,99
416348,61,99,99
416541,61,99,99
416785,61,99,99
417061,61,99,99
417379,61,99,99
417723,61,99,99
418082,61,99,99
418434,61,99,99
418805,61,99,99
419211,61,99,99
419597,61,99,99
419986,61,99,99
420375,61,99,99
420757,61,99,99
421143,61,99,99
421537,61,99,99
421916,61,99,99
422291,61,99,99
422687,61,99,99
423036,61,99,99
423366,61,99,99
423775,61,99,99
424119,61,99,99
424423,61,99,99
424808,61,99,99
425152,61,99,99
425436,61,99,99
425792,61,99,99
426137,61,99,99
426469,61,99,99
426823,61,99,99
427169,61,99,99
427539,61,99,99
427876,61,99,99
428235,61,99,99
428642,61,99,99
429029,61,99,99
429432,61,99,99
429843,61,99,99
430257,61,99,99
430671,61,99,99
431095,61,99,99
431529,61,99,99
431938,61,99,99
432366,61,99,99
432790,61,99,99
433213,61,99,99
433660,61,99,99
434112,61,99,99
434551,61,99,99
435023,61,99,99
435522,61,99,99
435983,61,99,99
436437,61,99,99
436816,61,99,99
436989,61,99,99
436739,61,99,99
436046,61,99,99
434834,61,99,99
433004,61,99,99
430857,61,99,99
428706,61,99,99
426746,61,99,99
425000,61,99,99
423485,61,99,99
422201,61,99,99
421223,61,99,99
420510,61,99,99
419929,61,99,99
419586,61,99,99
419378,61,99,99
419207,61,99,99
419142,61,99,99
419082,61,99,99
419037,61,99,99
419007,61,99,99
419012,61,99,99
418953,61,99,99
418889,61,99,99
418872,61,99,99
418867,61,99,99
418910,61,99,99
419033,61,99,99
419227,61,99,99
419451,61,99,99
419709,61,99,101
419948,61,99,101
420152,61,99,101
420294,61,99,101
420367,61,99,101
420407,61,99,101
420382,61,99,101
420327,61,99,101
420236,61,99,101
420111,61,99,101
420026,61,99,101
419946,61,99,101
419891,61,99,101
419888,61,99,101
419974,61,99,101
420082,61,99,101
420228,61,99,101
420491,61,99,101
420755,61,99,101
421071,61,99,101
421385,61,99,101
421722,61,99,101
422092,61,99,101
422429,61,99,101
422808,61,99,101
423206,61,99,101
423572,61,99,101
423961,61,99,101
424361,61,99,101
424768,61,99,101
425123,61,99,101
425503,61,99,101
425917,61,99,101
426294,61,99,101
426656,61,99,101
427013,61,99,101
427347,61,99,101
427672,61,99,101
427972,61,99,101
428328,61,99,101
428654,61,99,101
428946,61,99,101
429261,61,99,101
429602,61,99,101
429925,61,99,101
430257,61,99,101
430582,61,99,101
430887,61,99,101
431226,61,99,101
431535,61,99,101
431823,61,99,101
432177,61,99,101
432523,61,99,101
432842,61,99,101
433228,61,99,101
433601,61,99,101
434008,61,99,101
434465,61,99,101
434883,61,99,101
435288,61,99,101
435592,61,99,101
435737,61,99,101
435539,61,99,101
434933,61,99,101
433865,61,99,101
432281,61,99,101
430431,61,99,101
428563,61,99,101
426822,61,99,101
425275,61,99,101
423959,61,99,101
422877,61,99,101
422014,61,99,101
421407,61,99,101
420980,61,99,101
420690,61,99,101
420582,61,99,101
420528,61,99,101
420521,61,99,101
420557,61,99,101
420563,61,99,101
420579,61,99,101
420617,61,99,101
420607,61,99,101
420606,61,99,101
420700,61,99,101
420777,61,99,101
420941,61,99,101
421184,61,99,101
421460,61,99,101
421761,61,99,90
422064,61,99,90
422304,61,99,90
422498,61,99,90
422655,61,99,90
422733,61,99,90
422720,61,99,90
